idx,id,label,text_len,audio_len,vision_len,raw_text,orig_overall_mean,orig_overall_topk,pert_overall_mean,pert_overall_topk,orig_ta_mean,orig_tv_mean,orig_av_mean,orig_ta_topk,orig_tv_topk,orig_av_topk,pert_ta_mean,pert_tv_mean,pert_av_mean,pert_ta_topk,pert_tv_topk,pert_av_topk,delta_tv,delta_av,delta_ta_abs,q_score
1840,y8HXGm1-Ecw$_$5,-1.6666666269302368,36,236,177,"This can be very dangerous for our face, and it will actually even show dark circles, and imperfections, scars, even more prevalently than they would have befor...",0.8485835393269857,0.10116107170360546,0.8401020367940267,0.10120264075404663,0.8151723742485046,0.8056752681732178,0.9249029755592346,0.10181529050632208,0.10144037876400419,0.10022754584049011,0.8151723742485046,0.793117105960846,0.9120166301727295,0.10181529050632208,0.1015092359290117,0.10028339582680611,0.012558162212371826,0.012886345386505127,0.0,0.01145002841949463
1820,xivYoEUQ5sk$_$1,1.6666666269302368,27,220,166,"It's a fantastic program centered around philosophy and a, with an obvious focus on Justice and Law &amp; law programs",0.8489979306856791,0.1013928837811065,0.8458400766054789,0.10140940793021418,0.8418320417404175,0.7982531785964966,0.9069085717201233,0.10154226695684943,0.10239616003722188,0.10024022434924819,0.8418320417404175,0.7944008111953735,0.9012873768806458,0.10154226695684943,0.10241919155123684,0.10026676528255624,0.003852367401123047,0.005621194839477539,0.0,0.004263103008270264
542,5kaCGzjYukM$_$3,-1.6666666269302368,29,267,201,"We’re looking at dozens, if not several dozens, of casualties in this strike on what was clear that was a medical facility.",0.865835169951121,0.10098928354471041,0.8637073040008545,0.10099141007182376,0.8231647610664368,0.8208825588226318,0.9534581899642944,0.10151802751714771,0.10132150169781769,0.10012832141916582,0.8231647610664368,0.8163387179374695,0.9516184329986572,0.10151802751714771,0.1013301435027155,0.10012605919560806,0.0045438408851623535,0.001839756965637207,0.0,0.0028726190328598024
235,236021$_$4,0.6666666865348816,50,462,347,So he kind of (uhh) steps in one day and looks after things at the North Pole and then it turns into this big party and everything goes kind of crazy havocy and...,0.8490323026974996,0.10112865611451409,0.8469493389129639,0.10114531463178857,0.779140055179596,0.8126551508903503,0.9553017020225525,0.10167708800237825,0.10158089473480575,0.10012798560635824,0.779140055179596,0.8070468306541443,0.9546611309051514,0.10167708800237825,0.10163011565029884,0.10012874024268865,0.005608320236206055,0.000640571117401123,0.0,0.00281200110912323
1114,TYJzg5IJN8o$_$14,1.0,31,149,112,"We are looking for people who have the best interests of you,  the American people, in mind  as they help us prepare to govern going forward.",0.8827261924743652,0.10092181650929417,0.8807764848073324,0.10092812525259397,0.840709924697876,0.881093442440033,0.9263752102851868,0.10150083393701542,0.10100723447884416,0.10025738111202297,0.840709924697876,0.8801285028457642,0.9214910268783569,0.10150083393701542,0.10100529046902494,0.1002782513517415,0.0009649395942687988,0.004884183406829834,0.0,0.002632105350494385
544,5kaCGzjYukM$_$5,-2.3333332538604736,34,317,238,"So once again, we call on the regime to cease these absolutely senseless attacks, which are, of course, violations of the cessation of hostilities.",0.859694759051005,0.10111893301349462,0.8579576015472412,0.10112627190897899,0.802323579788208,0.8194454908370972,0.95731520652771,0.1016649369630097,0.10161447726180102,0.10007738481567312,0.802323579788208,0.8156867623329163,0.9558624625205994,0.1016649369630097,0.10163460064693237,0.1000792781169949,0.003758728504180908,0.0014527440071105957,0.0,0.002345162630081177
1828,xjsaS-LeZ14$_$10,1.0,39,272,117,"When this jar is full or it's half-filled or three quarters filled, I take the contents from here and I put them inside a business card binder that I made.",0.8621201117833456,0.10144396785812411,0.8607208331425985,0.10145533840389102,0.8159517645835876,0.8380118608474731,0.9323967099189758,0.1023654305213479,0.10173770180756418,0.10022877124546024,0.8159517645835876,0.836186408996582,0.9300243258476257,0.1023654305213479,0.10175060693367745,0.10024997775664773,0.0018254518508911133,0.0023723840713500977,0.0,0.001889026165008545
710,Baz0VVQ-E9E$_$8,1.6666666269302368,37,259,194,"So yes, we are asking people to change the way they’ve always done things, the same way we have always fundamentally changed things, when we change them for the...",0.841239333152771,0.10109167666291315,0.8398689230283102,0.10109765244328045,0.8027031421661377,0.7814210057258606,0.9395938515663147,0.10170655456058796,0.10144569670417487,0.10012277872397665,0.8027031421661377,0.7786886096000671,0.9382150173187256,0.10170655456058796,0.10146110601272187,0.10012529675653153,0.002732396125793457,0.0013788342475891113,0.0,0.0018500536680221558
522,5B0PQx3Ep3k$_$5,1.3333333730697632,30,172,129,"And I know that if we truly want to help all our young people reach their college dreams, we need to support our school counselors.",0.8438543279965719,0.1018136390925267,0.8425456484158834,0.10184239307165294,0.7973714470863342,0.7966086268424988,0.9375829100608826,0.10263150357748947,0.10262261536369845,0.1001867983363922,0.7973714470863342,0.7978090643882751,0.9324564337730408,0.10263150357748947,0.10266877249806369,0.10022690313940565,-0.0012004375457763672,0.005126476287841797,0.0,0.0017667174339294433
1315,bQ8QteHvrEk$_$0,1.0,50,418,303,"Well what the recession has shown us, and of course let's not forget that it's ongoing because there are still millions out of jobs and millions of homes being ...",0.8505210280418396,0.10083215728462093,0.8492132822672526,0.10083856662334756,0.8232612013816833,0.8557122349739075,0.872589647769928,0.1011202828293822,0.10103321169333492,0.10034297733114571,0.8232612013816833,0.8535942435264587,0.8707844018936157,0.1011202828293822,0.10104256793036007,0.10035284911030037,0.0021179914474487305,0.0018052458763122559,0.0,0.0017654567956924439
